Last Name,First Name,Position,Dev Trait,Overall Rating,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Throw Power,Throw Accuracy,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Kick Return,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Spectacular Catch,Catch In Traffic,Route Running,Hit Power,Press,Release,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Play Action,Throw on the Run,Height,Weight,Age,Birthdate,Years Pro,College,Total Salary,Signing Bonus,Handedness,portraitId
Juszczyk,Kyle,FB,QUICK,91,82,88,79,78,85,70,77,35,32,19,19,71,79,45,89,45,93,89,87,84,68,81,81,70,76,77,66,64,60,66,30,35,33,48,20,15,20,75,76,76,45,20,72,20,15,10,10,10,73,240,26,4/23/91,4,Harvard,15600000,5000000,Right,6869
Bowman,NaVorro,MLB,STAR,88,83,87,80,83,90,65,50,22,22,10,10,45,45,92,75,10,86,91,75,10,35,27,12,10,40,89,45,45,45,45,79,62,82,94,90,63,72,45,40,10,93,55,20,6,6,6,6,6,72,242,29,5/28/88,7,Penn State,42750000,10000000,Left,480
Garcon,Pierre,WR,-,85,89,91,66,87,92,93,74,35,35,30,30,62,40,35,90,77,90,94,72,61,82,85,74,78,86,62,60,65,55,45,10,10,35,35,20,10,25,84,87,87,12,18,80,15,10,6,6,10,72,211,31,8/8/86,9,Mount Union,35000000,7000000,Right,1209
Dumervil,Elvis,RE,-,83,75,82,78,78,91,49,40,34,40,20,19,45,45,77,73,12,83,90,84,40,37,32,10,10,10,78,45,45,45,45,74,85,70,88,91,52,63,12,10,10,76,20,12,6,6,6,6,6,71,255,33,1/19/84,11,Louisville,5000000,2000000,Right,1004
Hyde,Carlos,HB,-,83,88,90,81,91,84,68,82,35,30,25,25,64,57,25,84,70,86,87,90,85,80,88,85,88,91,60,65,60,59,62,10,10,25,50,20,15,20,54,63,52,12,10,66,35,30,20,15,15,72,228,26,9/20/90,3,Ohio State,3600000,1600000,Right,6456
Staley,Joe,LT,-,82,74,83,92,74,92,62,61,18,24,20,22,83,78,25,78,10,90,94,86,10,25,10,10,10,10,87,95,99,85,95,10,10,25,31,10,12,12,30,40,44,15,10,47,6,6,6,6,6,77,315,33,8/30/84,10,Central Michigan,34650000,6000000,Right,2837
Hightower,Tim,HB,-,80,87,90,76,86,83,64,92,30,30,74,65,25,30,20,73,55,85,82,86,84,66,83,86,82,77,45,48,47,49,47,10,10,11,50,20,15,20,60,64,73,20,20,60,35,30,20,15,15,72,220,31,5/23/86,7,Richmond,825000,250000,Right,1499
Ward,Jimmie,FS,-,80,90,91,53,88,77,69,65,28,27,23,19,45,45,71,89,35,93,90,83,61,49,62,47,60,64,54,45,45,45,45,51,59,56,82,77,83,78,60,55,15,77,83,15,6,6,6,6,6,71,193,26,7/18/91,3,N. Illinois,9216000,870000,Right,6626
Buckner,DeForest,LE,QUICK,79,71,81,81,83,77,40,44,22,18,20,19,45,46,86,84,11,91,92,88,45,28,38,33,23,28,88,44,45,46,44,73,84,73,80,77,33,42,21,18,14,87,22,17,6,6,6,6,6,79,300,23,3/17/94,1,Oregon,18200000,11400000,Right,7920
Thomas,Solomon,DT,STAR,79,83,87,91,80,66,32,40,18,12,16,11,45,45,82,84,10,97,84,88,30,20,18,27,23,32,84,45,45,45,45,71,83,80,82,66,34,43,25,25,25,81,34,20,6,6,6,6,6,75,273,21,12/20/95,0,Stanford,28295000,18710000,Right,8750
